5: inc a.*
6: dec c.*
\d: jnz c -2.*

{a=12, b=0, c=0, d=0}
9: jnz d -2   {a=479001608, b=0, c=73, d=72}
10: inc a      {a=479001609, b=0, c=73, d=72}
11: dec d      {a=479001609, b=0, c=73, d=71}
9: jnz d -2   {a=479001609, b=0, c=73, d=71}
10: inc a      {a=479001610, b=0, c=73, d=71}
11: dec d      {a=479001610, b=0, c=73, d=70}
9: jnz d -2   {a=479001610, b=0, c=73, d=70}
10: inc a      {a=479001611, b=0, c=73, d=70}
11: dec d      {a=479001611, b=0, c=73, d=69}
9: jnz d -2   {a=479001611, b=0, c=73, d=69}
10: inc a      {a=479001612, b=0, c=73, d=69}
11: dec d      {a=479001612, b=0, c=73, d=68}
9: jnz d -2   {a=479001612, b=0, c=73, d=68}
10: inc a      {a=479001613, b=0, c=73, d=68}
11: dec d      {a=479001613, b=0, c=73, d=67}
9: jnz d -2   {a=479001613, b=0, c=73, d=67}
10: inc a      {a=479001614, b=0, c=73, d=67}
11: dec d      {a=479001614, b=0, c=73, d=66}
9: jnz d -2   {a=479001614, b=0, c=73, d=66}
10: inc a      {a=479001615, b=0, c=73, d=66}
11: dec d      {a=479001615, b=0, c=73, d=65}
9: jnz d -2   {a=479001615, b=0, c=73, d=65}
10: inc a      {a=479001616, b=0, c=73, d=65}
11: dec d      {a=479001616, b=0, c=73, d=64}
9: jnz d -2   {a=479001616, b=0, c=73, d=64}
10: inc a      {a=479001617, b=0, c=73, d=64}
11: dec d      {a=479001617, b=0, c=73, d=63}
9: jnz d -2   {a=479001617, b=0, c=73, d=63}
10: inc a      {a=479001618, b=0, c=73, d=63}
11: dec d      {a=479001618, b=0, c=73, d=62}
9: jnz d -2   {a=479001618, b=0, c=73, d=62}
10: inc a      {a=479001619, b=0, c=73, d=62}
11: dec d      {a=479001619, b=0, c=73, d=61}
9: jnz d -2   {a=479001619, b=0, c=73, d=61}
10: inc a      {a=479001620, b=0, c=73, d=61}
11: dec d      {a=479001620, b=0, c=73, d=60}
9: jnz d -2   {a=479001620, b=0, c=73, d=60}
10: inc a      {a=479001621, b=0, c=73, d=60}
11: dec d      {a=479001621, b=0, c=73, d=59}
9: jnz d -2   {a=479001621, b=0, c=73, d=59}
10: inc a      {a=479001622, b=0, c=73, d=59}
11: dec d      {a=479001622, b=0, c=73, d=58}
9: jnz d -2   {a=479001622, b=0, c=73, d=58}
10: inc a      {a=479001623, b=0, c=73, d=58}
11: dec d      {a=479001623, b=0, c=73, d=57}
9: jnz d -2   {a=479001623, b=0, c=73, d=57}
10: inc a      {a=479001624, b=0, c=73, d=57}
11: dec d      {a=479001624, b=0, c=73, d=56}
9: jnz d -2   {a=479001624, b=0, c=73, d=56}
10: inc a      {a=479001625, b=0, c=73, d=56}
11: dec d      {a=479001625, b=0, c=73, d=55}
9: jnz d -2   {a=479001625, b=0, c=73, d=55}
10: inc a      {a=479001626, b=0, c=73, d=55}
11: dec d      {a=479001626, b=0, c=73, d=54}
9: jnz d -2   {a=479001626, b=0, c=73, d=54}
10: inc a      {a=479001627, b=0, c=73, d=54}
11: dec d      {a=479001627, b=0, c=73, d=53}
9: jnz d -2   {a=479001627, b=0, c=73, d=53}
10: inc a      {a=479001628, b=0, c=73, d=53}
11: dec d      {a=479001628, b=0, c=73, d=52}
9: jnz d -2   {a=479001628, b=0, c=73, d=52}
10: inc a      {a=479001629, b=0, c=73, d=52}
11: dec d      {a=479001629, b=0, c=73, d=51}
9: jnz d -2   {a=479001629, b=0, c=73, d=51}
10: inc a      {a=479001630, b=0, c=73, d=51}
11: dec d      {a=479001630, b=0, c=73, d=50}
9: jnz d -2   {a=479001630, b=0, c=73, d=50}
10: inc a      {a=479001631, b=0, c=73, d=50}
11: dec d      {a=479001631, b=0, c=73, d=49}
9: jnz d -2   {a=479001631, b=0, c=73, d=49}
10: inc a      {a=479001632, b=0, c=73, d=49}
11: dec d      {a=479001632, b=0, c=73, d=48}
9: jnz d -2   {a=479001632, b=0, c=73, d=48}
10: inc a      {a=479001633, b=0, c=73, d=48}
11: dec d      {a=479001633, b=0, c=73, d=47}
9: jnz d -2   {a=479001633, b=0, c=73, d=47}
10: inc a      {a=479001634, b=0, c=73, d=47}
11: dec d      {a=479001634, b=0, c=73, d=46}
9: jnz d -2   {a=479001634, b=0, c=73, d=46}
10: inc a      {a=479001635, b=0, c=73, d=46}
11: dec d      {a=479001635, b=0, c=73, d=45}
9: jnz d -2   {a=479001635, b=0, c=73, d=45}
10: inc a      {a=479001636, b=0, c=73, d=45}
11: dec d      {a=479001636, b=0, c=73, d=44}
9: jnz d -2   {a=479001636, b=0, c=73, d=44}
10: inc a      {a=479001637, b=0, c=73, d=44}
11: dec d      {a=479001637, b=0, c=73, d=43}
9: jnz d -2   {a=479001637, b=0, c=73, d=43}
10: inc a      {a=479001638, b=0, c=73, d=43}
11: dec d      {a=479001638, b=0, c=73, d=42}
9: jnz d -2   {a=479001638, b=0, c=73, d=42}
10: inc a      {a=479001639, b=0, c=73, d=42}
11: dec d      {a=479001639, b=0, c=73, d=41}
9: jnz d -2   {a=479001639, b=0, c=73, d=41}
10: inc a      {a=479001640, b=0, c=73, d=41}
11: dec d      {a=479001640, b=0, c=73, d=40}
9: jnz d -2   {a=479001640, b=0, c=73, d=40}
10: inc a      {a=479001641, b=0, c=73, d=40}
11: dec d      {a=479001641, b=0, c=73, d=39}
9: jnz d -2   {a=479001641, b=0, c=73, d=39}
10: inc a      {a=479001642, b=0, c=73, d=39}
11: dec d      {a=479001642, b=0, c=73, d=38}
9: jnz d -2   {a=479001642, b=0, c=73, d=38}
10: inc a      {a=479001643, b=0, c=73, d=38}
11: dec d      {a=479001643, b=0, c=73, d=37}
9: jnz d -2   {a=479001643, b=0, c=73, d=37}
10: inc a      {a=479001644, b=0, c=73, d=37}
11: dec d      {a=479001644, b=0, c=73, d=36}
9: jnz d -2   {a=479001644, b=0, c=73, d=36}
10: inc a      {a=479001645, b=0, c=73, d=36}
11: dec d      {a=479001645, b=0, c=73, d=35}
9: jnz d -2   {a=479001645, b=0, c=73, d=35}
10: inc a      {a=479001646, b=0, c=73, d=35}
11: dec d      {a=479001646, b=0, c=73, d=34}
9: jnz d -2   {a=479001646, b=0, c=73, d=34}
10: inc a      {a=479001647, b=0, c=73, d=34}
11: dec d      {a=479001647, b=0, c=73, d=33}
9: jnz d -2   {a=479001647, b=0, c=73, d=33}
10: inc a      {a=479001648, b=0, c=73, d=33}
11: dec d      {a=479001648, b=0, c=73, d=32}
9: jnz d -2   {a=479001648, b=0, c=73, d=32}
10: inc a      {a=479001649, b=0, c=73, d=32}
11: dec d      {a=479001649, b=0, c=73, d=31}
9: jnz d -2   {a=479001649, b=0, c=73, d=31}
10: inc a      {a=479001650, b=0, c=73, d=31}
11: dec d      {a=479001650, b=0, c=73, d=30}
9: jnz d -2   {a=479001650, b=0, c=73, d=30}
10: inc a      {a=479001651, b=0, c=73, d=30}
11: dec d      {a=479001651, b=0, c=73, d=29}
9: jnz d -2   {a=479001651, b=0, c=73, d=29}
10: inc a      {a=479001652, b=0, c=73, d=29}
11: dec d      {a=479001652, b=0, c=73, d=28}
9: jnz d -2   {a=479001652, b=0, c=73, d=28}
10: inc a      {a=479001653, b=0, c=73, d=28}
11: dec d      {a=479001653, b=0, c=73, d=27}
9: jnz d -2   {a=479001653, b=0, c=73, d=27}
10: inc a      {a=479001654, b=0, c=73, d=27}
11: dec d      {a=479001654, b=0, c=73, d=26}
9: jnz d -2   {a=479001654, b=0, c=73, d=26}
10: inc a      {a=479001655, b=0, c=73, d=26}
11: dec d      {a=479001655, b=0, c=73, d=25}
9: jnz d -2   {a=479001655, b=0, c=73, d=25}
10: inc a      {a=479001656, b=0, c=73, d=25}
11: dec d      {a=479001656, b=0, c=73, d=24}
9: jnz d -2   {a=479001656, b=0, c=73, d=24}
10: inc a      {a=479001657, b=0, c=73, d=24}
11: dec d      {a=479001657, b=0, c=73, d=23}
9: jnz d -2   {a=479001657, b=0, c=73, d=23}
10: inc a      {a=479001658, b=0, c=73, d=23}
11: dec d      {a=479001658, b=0, c=73, d=22}
9: jnz d -2   {a=479001658, b=0, c=73, d=22}
10: inc a      {a=479001659, b=0, c=73, d=22}
11: dec d      {a=479001659, b=0, c=73, d=21}
9: jnz d -2   {a=479001659, b=0, c=73, d=21}
10: inc a      {a=479001660, b=0, c=73, d=21}
11: dec d      {a=479001660, b=0, c=73, d=20}
9: jnz d -2   {a=479001660, b=0, c=73, d=20}
10: inc a      {a=479001661, b=0, c=73, d=20}
11: dec d      {a=479001661, b=0, c=73, d=19}
9: jnz d -2   {a=479001661, b=0, c=73, d=19}
10: inc a      {a=479001662, b=0, c=73, d=19}
11: dec d      {a=479001662, b=0, c=73, d=18}
9: jnz d -2   {a=479001662, b=0, c=73, d=18}
10: inc a      {a=479001663, b=0, c=73, d=18}
11: dec d      {a=479001663, b=0, c=73, d=17}
9: jnz d -2   {a=479001663, b=0, c=73, d=17}
10: inc a      {a=479001664, b=0, c=73, d=17}
11: dec d      {a=479001664, b=0, c=73, d=16}
9: jnz d -2   {a=479001664, b=0, c=73, d=16}
10: inc a      {a=479001665, b=0, c=73, d=16}
11: dec d      {a=479001665, b=0, c=73, d=15}
9: jnz d -2   {a=479001665, b=0, c=73, d=15}
10: inc a      {a=479001666, b=0, c=73, d=15}
11: dec d      {a=479001666, b=0, c=73, d=14}
9: jnz d -2   {a=479001666, b=0, c=73, d=14}
10: inc a      {a=479001667, b=0, c=73, d=14}
11: dec d      {a=479001667, b=0, c=73, d=13}
9: jnz d -2   {a=479001667, b=0, c=73, d=13}
10: inc a      {a=479001668, b=0, c=73, d=13}
11: dec d      {a=479001668, b=0, c=73, d=12}
9: jnz d -2   {a=479001668, b=0, c=73, d=12}
10: inc a      {a=479001669, b=0, c=73, d=12}
11: dec d      {a=479001669, b=0, c=73, d=11}
9: jnz d -2   {a=479001669, b=0, c=73, d=11}
10: inc a      {a=479001670, b=0, c=73, d=11}
11: dec d      {a=479001670, b=0, c=73, d=10}
9: jnz d -2   {a=479001670, b=0, c=73, d=10}
10: inc a      {a=479001671, b=0, c=73, d=10}
11: dec d      {a=479001671, b=0, c=73, d=9}
9: jnz d -2   {a=479001671, b=0, c=73, d=9}
10: inc a      {a=479001672, b=0, c=73, d=9}
11: dec d      {a=479001672, b=0, c=73, d=8}
9: jnz d -2   {a=479001672, b=0, c=73, d=8}
10: inc a      {a=479001673, b=0, c=73, d=8}
11: dec d      {a=479001673, b=0, c=73, d=7}
9: jnz d -2   {a=479001673, b=0, c=73, d=7}
10: inc a      {a=479001674, b=0, c=73, d=7}
11: dec d      {a=479001674, b=0, c=73, d=6}
9: jnz d -2   {a=479001674, b=0, c=73, d=6}
10: inc a      {a=479001675, b=0, c=73, d=6}
11: dec d      {a=479001675, b=0, c=73, d=5}
9: jnz d -2   {a=479001675, b=0, c=73, d=5}
10: inc a      {a=479001676, b=0, c=73, d=5}
11: dec d      {a=479001676, b=0, c=73, d=4}
9: jnz d -2   {a=479001676, b=0, c=73, d=4}
10: inc a      {a=479001677, b=0, c=73, d=4}
11: dec d      {a=479001677, b=0, c=73, d=3}
9: jnz d -2   {a=479001677, b=0, c=73, d=3}
10: inc a      {a=479001678, b=0, c=73, d=3}
11: dec d      {a=479001678, b=0, c=73, d=2}
9: jnz d -2   {a=479001678, b=0, c=73, d=2}
10: inc a      {a=479001679, b=0, c=73, d=2}
11: dec d      {a=479001679, b=0, c=73, d=1}
9: jnz d -2   {a=479001679, b=0, c=73, d=1}
10: inc a      {a=479001680, b=0, c=73, d=1}
11: dec d      {a=479001680, b=0, c=73, d=0}
12: jnz d -2   {a=479001680, b=0, c=73, d=0}
13: dec c      {a=479001680, b=0, c=72, d=0}
8: jnz c -5   {a=479001680, b=0, c=72, d=0}
9: cpy 80 d   {a=479001680, b=0, c=72, d=80}
10: inc a      {a=479001681, b=0, c=72, d=80}
11: dec d      {a=479001681, b=0, c=72, d=79}
9: jnz d -2   {a=479001681, b=0, c=72, d=79}
10: inc a      {a=479001682, b=0, c=72, d=79}
11: dec d      {a=479001682, b=0, c=72, d=78}
9: jnz d -2   {a=479001682, b=0, c=72, d=78}
10: inc a      {a=479001683, b=0, c=72, d=78}
11: dec d      {a=479001683, b=0, c=72, d=77}
9: jnz d -2   {a=479001683, b=0, c=72, d=77}
10: inc a      {a=479001684, b=0, c=72, d=77}
11: dec d      {a=479001684, b=0, c=72, d=76}
9: jnz d -2   {a=479001684, b=0, c=72, d=76}
10: inc a      {a=479001685, b=0, c=72, d=76}
11: dec d      {a=479001685, b=0, c=72, d=75}
9: jnz d -2   {a=479001685, b=0, c=72, d=75}
10: inc a      {a=479001686, b=0, c=72, d=75}
11: dec d      {a=479001686, b=0, c=72, d=74}
9: jnz d -2   {a=479001686, b=0, c=72, d=74}
10: inc a      {a=479001687, b=0, c=72, d=74}
11: dec d      {a=479001687, b=0, c=72, d=73}
9: jnz d -2   {a=479001687, b=0, c=72, d=73}
10: inc a      {a=479001688, b=0, c=72, d=73}
11: dec d      {a=479001688, b=0, c=72, d=72}
9: jnz d -2   {a=479001688, b=0, c=72, d=72}
10: inc a      {a=479001689, b=0, c=72, d=72}
11: dec d      {a=479001689, b=0, c=72, d=71}
9: jnz d -2   {a=479001689, b=0, c=72, d=71}
10: inc a      {a=479001690, b=0, c=72, d=71}
11: dec d      {a=479001690, b=0, c=72, d=70}
9: jnz d -2   {a=479001690, b=0, c=72, d=70}
10: inc a      {a=479001691, b=0, c=72, d=70}
11: dec d      {a=479001691, b=0, c=72, d=69}
9: jnz d -2   {a=479001691, b=0, c=72, d=69}
10: inc a      {a=479001692, b=0, c=72, d=69}
11: dec d      {a=479001692, b=0, c=72, d=68}
9: jnz d -2   {a=479001692, b=0, c=72, d=68}
10: inc a      {a=479001693, b=0, c=72, d=68}
11: dec d      {a=479001693, b=0, c=72, d=67}
9: jnz d -2   {a=479001693, b=0, c=72, d=67}
10: inc a      {a=479001694, b=0, c=72, d=67}
11: dec d      {a=479001694, b=0, c=72, d=66}
9: jnz d -2   {a=479001694, b=0, c=72, d=66}
10: inc a      {a=479001695, b=0, c=72, d=66}
11: dec d      {a=479001695, b=0, c=72, d=65}
9: jnz d -2   {a=479001695, b=0, c=72, d=65}
10: inc a      {a=479001696, b=0, c=72, d=65}
11: dec d      {a=479001696, b=0, c=72, d=64}
9: jnz d -2   {a=479001696, b=0, c=72, d=64}
10: inc a      {a=479001697, b=0, c=72, d=64}
11: dec d      {a=479001697, b=0, c=72, d=63}
9: jnz d -2   {a=479001697, b=0, c=72, d=63}
10: inc a      {a=479001698, b=0, c=72, d=63}
11: dec d      {a=479001698, b=0, c=72, d=62}
9: jnz d -2   {a=479001698, b=0, c=72, d=62}
10: inc a      {a=479001699, b=0, c=72, d=62}
11: dec d      {a=479001699, b=0, c=72, d=61}
9: jnz d -2   {a=479001699, b=0, c=72, d=61}
10: inc a      {a=479001700, b=0, c=72, d=61}
11: dec d      {a=479001700, b=0, c=72, d=60}
9: jnz d -2   {a=479001700, b=0, c=72, d=60}
10: inc a      {a=479001701, b=0, c=72, d=60}
11: dec d      {a=479001701, b=0, c=72, d=59}
9: jnz d -2   {a=479001701, b=0, c=72, d=59}
10: inc a      {a=479001702, b=0, c=72, d=59}
11: dec d      {a=479001702, b=0, c=72, d=58}
9: jnz d -2   {a=479001702, b=0, c=72, d=58}
10: inc a      {a=479001703, b=0, c=72, d=58}
11: dec d      {a=479001703, b=0, c=72, d=57}
9: jnz d -2   {a=479001703, b=0, c=72, d=57}
10: inc a      {a=479001704, b=0, c=72, d=57}
11: dec d      {a=479001704, b=0, c=72, d=56}
9: jnz d -2   {a=479001704, b=0, c=72, d=56}
10: inc a      {a=479001705, b=0, c=72, d=56}
11: dec d      {a=479001705, b=0, c=72, d=55}
9: jnz d -2   {a=479001705, b=0, c=72, d=55}
10: inc a      {a=479001706, b=0, c=72, d=55}
11: dec d      {a=479001706, b=0, c=72, d=54}
9: jnz d -2   {a=479001706, b=0, c=72, d=54}
10: inc a      {a=479001707, b=0, c=72, d=54}
11: dec d      {a=479001707, b=0, c=72, d=53}
9: jnz d -2   {a=479001707, b=0, c=72, d=53}
10: inc a      {a=479001708, b=0, c=72, d=53}
11: dec d      {a=479001708, b=0, c=72, d=52}
9: jnz d -2   {a=479001708, b=0, c=72, d=52}
10: inc a      {a=479001709, b=0, c=72, d=52}
11: dec d      {a=479001709, b=0, c=72, d=51}
9: jnz d -2   {a=479001709, b=0, c=72, d=51}
10: inc a      {a=479001710, b=0, c=72, d=51}
11: dec d      {a=479001710, b=0, c=72, d=50}
9: jnz d -2   {a=479001710, b=0, c=72, d=50}
10: inc a      {a=479001711, b=0, c=72, d=50}
11: dec d      {a=479001711, b=0, c=72, d=49}
9: jnz d -2   {a=479001711, b=0, c=72, d=49}
10: inc a      {a=479001712, b=0, c=72, d=49}
11: dec d      {a=479001712, b=0, c=72, d=48}
9: jnz d -2   {a=479001712, b=0, c=72, d=48}
10: inc a      {a=479001713, b=0, c=72, d=48}
11: dec d      {a=479001713, b=0, c=72, d=47}
9: jnz d -2   {a=479001713, b=0, c=72, d=47}
10: inc a      {a=479001714, b=0, c=72, d=47}
11: dec d      {a=479001714, b=0, c=72, d=46}
9: jnz d -2   {a=479001714, b=0, c=72, d=46}
10: inc a      {a=479001715, b=0, c=72, d=46}
11: dec d      {a=479001715, b=0, c=72, d=45}
9: jnz d -2   {a=479001715, b=0, c=72, d=45}
10: inc a      {a=479001716, b=0, c=72, d=45}
11: dec d      {a=479001716, b=0, c=72, d=44}
9: jnz d -2   {a=479001716, b=0, c=72, d=44}
10: inc a      {a=479001717, b=0, c=72, d=44}
11: dec d      {a=479001717, b=0, c=72, d=43}
9: jnz d -2   {a=479001717, b=0, c=72, d=43}
10: inc a      {a=479001718, b=0, c=72, d=43}
11: dec d      {a=479001718, b=0, c=72, d=42}
9: jnz d -2   {a=479001718, b=0, c=72, d=42}
10: inc a      {a=479001719, b=0, c=72, d=42}
11: dec d      {a=479001719, b=0, c=72, d=41}
9: jnz d -2   {a=479001719, b=0, c=72, d=41}
10: inc a      {a=479001720, b=0, c=72, d=41}
11: dec d      {a=479001720, b=0, c=72, d=40}
9: jnz d -2   {a=479001720, b=0, c=72, d=40}
10: inc a      {a=479001721, b=0, c=72, d=40}
11: dec d      {a=479001721, b=0, c=72, d=39}
9: jnz d -2   {a=479001721, b=0, c=72, d=39}
10: inc a      {a=479001722, b=0, c=72, d=39}
11: dec d      {a=479001722, b=0, c=72, d=38}
9: jnz d -2   {a=479001722, b=0, c=72, d=38}
10: inc a      {a=479001723, b=0, c=72, d=38}
11: dec d      {a=479001723, b=0, c=72, d=37}
9: jnz d -2   {a=479001723, b=0, c=72, d=37}
10: inc a      {a=479001724, b=0, c=72, d=37}
11: dec d      {a=479001724, b=0, c=72, d=36}
9: jnz d -2   {a=479001724, b=0, c=72, d=36}
10: inc a      {a=479001725, b=0, c=72, d=36}
11: dec d      {a=479001725, b=0, c=72, d=35}
9: jnz d -2   {a=479001725, b=0, c=72, d=35}
10: inc a      {a=479001726, b=0, c=72, d=35}
11: dec d      {a=479001726, b=0, c=72, d=34}
9: jnz d -2   {a=479001726, b=0, c=72, d=34}
10: inc a      {a=479001727, b=0, c=72, d=34}
11: dec d      {a=479001727, b=0, c=72, d=33}
9: jnz d -2   {a=479001727, b=0, c=72, d=33}
10: inc a      {a=479001728, b=0, c=72, d=33}
11: dec d      {a=479001728, b=0, c=72, d=32}
9: jnz d -2   {a=479001728, b=0, c=72, d=32}
10: inc a      {a=479001729, b=0, c=72, d=32}
11: dec d      {a=479001729, b=0, c=72, d=31}
9: jnz d -2   {a=479001729, b=0, c=72, d=31}
10: inc a      {a=479001730, b=0, c=72, d=31}
11: dec d      {a=479001730, b=0, c=72, d=30}
9: jnz d -2   {a=479001730, b=0, c=72, d=30}
10: inc a      {a=479001731, b=0, c=72, d=30}
11: dec d      {a=479001731, b=0, c=72, d=29}
9: jnz d -2   {a=479001731, b=0, c=72, d=29}
10: inc a      {a=479001732, b=0, c=72, d=29}
11: dec d      {a=479001732, b=0, c=72, d=28}
9: jnz d -2   {a=479001732, b=0, c=72, d=28}
10: inc a      {a=479001733, b=0, c=72, d=28}
11: dec d      {a=479001733, b=0, c=72, d=27}
9: jnz d -2   {a=479001733, b=0, c=72, d=27}
10: inc a      {a=479001734, b=0, c=72, d=27}
11: dec d      {a=479001734, b=0, c=72, d=26}
9: jnz d -2   {a=479001734, b=0, c=72, d=26}
10: inc a      {a=479001735, b=0, c=72, d=26}
11: dec d      {a=479001735, b=0, c=72, d=25}
9: jnz d -2   {a=479001735, b=0, c=72, d=25}
10: inc a      {a=479001736, b=0, c=72, d=25}
11: dec d      {a=479001736, b=0, c=72, d=24}
9: jnz d -2   {a=479001736, b=0, c=72, d=24}
10: inc a      {a=479001737, b=0, c=72, d=24}
11: dec d      {a=479001737, b=0, c=72, d=23}
9: jnz d -2   {a=479001737, b=0, c=72, d=23}
10: inc a      {a=479001738, b=0, c=72, d=23}
11: dec d      {a=479001738, b=0, c=72, d=22}
9: jnz d -2   {a=479001738, b=0, c=72, d=22}
10: inc a      {a=479001739, b=0, c=72, d=22}
11: dec d      {a=479001739, b=0, c=72, d=21}
9: jnz d -2   {a=479001739, b=0, c=72, d=21}
10: inc a      {a=479001740, b=0, c=72, d=21}
11: dec d      {a=479001740, b=0, c=72, d=20}
9: jnz d -2   {a=479001740, b=0, c=72, d=20}
10: inc a      {a=479001741, b=0, c=72, d=20}
11: dec d      {a=479001741, b=0, c=72, d=19}
9: jnz d -2   {a=479001741, b=0, c=72, d=19}
10: inc a      {a=479001742, b=0, c=72, d=19}
11: dec d      {a=479001742, b=0, c=72, d=18}
9: jnz d -2   {a=479001742, b=0, c=72, d=18}
10: inc a      {a=479001743, b=0, c=72, d=18}
11: dec d      {a=479001743, b=0, c=72, d=17}
9: jnz d -2   {a=479001743, b=0, c=72, d=17}
10: inc a      {a=479001744, b=0, c=72, d=17}
11: dec d      {a=479001744, b=0, c=72, d=16}
9: jnz d -2   {a=479001744, b=0, c=72, d=16}
10: inc a      {a=479001745, b=0, c=72, d=16}
11: dec d      {a=479001745, b=0, c=72, d=15}
9: jnz d -2   {a=479001745, b=0, c=72, d=15}
10: inc a      {a=479001746, b=0, c=72, d=15}
11: dec d      {a=479001746, b=0, c=72, d=14}
9: jnz d -2   {a=479001746, b=0, c=72, d=14}
10: inc a      {a=479001747, b=0, c=72, d=14}
11: dec d      {a=479001747, b=0, c=72, d=13}
9: jnz d -2   {a=479001747, b=0, c=72, d=13}
10: inc a      {a=479001748, b=0, c=72, d=13}
11: dec d      {a=479001748, b=0, c=72, d=12}
9: jnz d -2   {a=479001748, b=0, c=72, d=12}
10: inc a      {a=479001749, b=0, c=72, d=12}
11: dec d      {a=479001749, b=0, c=72, d=11}
9: jnz d -2   {a=479001749, b=0, c=72, d=11}
10: inc a      {a=479001750, b=0, c=72, d=11}
11: dec d      {a=479001750, b=0, c=72, d=10}
9: jnz d -2   {a=479001750, b=0, c=72, d=10}
10: inc a      {a=479001751, b=0, c=72, d=10}
11: dec d      {a=479001751, b=0, c=72, d=9}
9: jnz d -2   {a=479001751, b=0, c=72, d=9}
10: inc a      {a=479001752, b=0, c=72, d=9}
11: dec d      {a=479001752, b=0, c=72, d=8}
9: jnz d -2   {a=479001752, b=0, c=72, d=8}
10: inc a      {a=479001753, b=0, c=72, d=8}
11: dec d      {a=479001753, b=0, c=72, d=7}
9: jnz d -2   {a=479001753, b=0, c=72, d=7}
10: inc a      {a=479001754, b=0, c=72, d=7}
